feature_name;metadata_slide;metadata_roi;parameter;result;cells_quantities;cell_size;state_state_colocalisation;state_border_colocalisation;dbscan_analysis;neighbors_analysis;aggregation_same_for_all;aggregation_wheighted_sum_by_cell_fraction;aggregation_wheighted_sum_by_physiopart_fraction;aggregation_mean;aggregation_by_sum;aggregation_specific_function;feature_build_during_aggregation;feature_removed_during_aggregation;add_during_postprocessing;analysed_in_a_plot;4_rois_3_times_2_pop_analysis;4_rois_3_times_1_pop_analysis
neighbours_mean_dist_second_B_around_A;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;2;1;0
neighbours_mean_dist_third_B_around_A;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;2;1;0
neighbours_std_dist_first_B_around_A;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
neighbours_std_dist_second_B_around_A;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
neighbours_std_dist_third_B_around_A;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
neighbours_rate_balls_r_coloc_containing_1_B;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;1;0
neighbours_r_coloc;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
neighbours_rate_B_first_neighbour;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;1;0
neighbours_mean_A_first_neighbour;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0
neighbours_mean_A_second_neighbour;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;2;0;0
neighbours_mean_A_third_neighbour;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;2;0;0
neighbours_std_A_first_neighbour;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
neighbours_std_A_second_neighbour;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
neighbours_std_A_third_neighbour;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
